epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,9010.05,0.94087,0.51308,0.87285,0.88738,0.81058,0.847,0.55943,0.99065,0.50931,0.91236,0.000445625,0.000445625,0.000445625
67,9140.04,0.94057,0.50849,0.86774,0.88578,0.80379,0.84683,0.56793,0.99266,0.50843,0.91216,0.00043325,0.00043325,0.00043325
68,9263.42,0.93974,0.51056,0.87296,0.90446,0.79084,0.84639,0.54932,0.99227,0.52431,0.90975,0.000420875,0.000420875,0.000420875
69,9383.22,0.95315,0.51765,0.86884,0.90538,0.7873,0.84485,0.55688,0.99338,0.5114,0.91081,0.0004085,0.0004085,0.0004085
70,9521.24,0.92841,0.50052,0.86552,0.85384,0.79931,0.83834,0.55908,0.98862,0.51659,0.90741,0.000396125,0.000396125,0.000396125
71,9662.43,0.9391,0.50868,0.87363,0.86851,0.81378,0.84654,0.56305,0.98899,0.50493,0.90895,0.00038375,0.00038375,0.00038375
72,9805.97,0.93774,0.50493,0.87347,0.90652,0.78144,0.84597,0.56078,0.98635,0.50594,0.90627,0.000371375,0.000371375,0.000371375
73,9948.66,0.92202,0.50133,0.86582,0.91578,0.80729,0.85073,0.56297,0.9901,0.50415,0.9062,0.000359,0.000359,0.000359
74,10091.5,0.93733,0.50587,0.86864,0.87765,0.82097,0.85125,0.56944,0.99502,0.5111,0.90964,0.000346625,0.000346625,0.000346625
75,10232,0.93474,0.50123,0.8715,0.88667,0.81732,0.84965,0.56213,0.99477,0.50449,0.90927,0.00033425,0.00033425,0.00033425
76,10353.5,0.92684,0.49909,0.87138,0.89991,0.8087,0.84984,0.56309,0.98743,0.50968,0.90764,0.000321875,0.000321875,0.000321875
77,10473.9,0.92525,0.49613,0.86777,0.90391,0.79089,0.84323,0.56508,0.99004,0.50779,0.90758,0.0003095,0.0003095,0.0003095
78,10594.2,0.95352,0.50502,0.86605,0.888,0.8052,0.84276,0.55328,1.00845,0.51382,0.91341,0.000297125,0.000297125,0.000297125
79,10713,0.92494,0.49312,0.86852,0.92276,0.80496,0.84806,0.56303,0.98457,0.49321,0.9093,0.00028475,0.00028475,0.00028475
80,10833.9,0.93192,0.4897,0.86928,0.92352,0.80748,0.85046,0.56232,0.9876,0.49513,0.90518,0.000272375,0.000272375,0.000272375
81,10953.6,0.91701,0.48408,0.86056,0.91236,0.81125,0.85142,0.56761,0.97703,0.49208,0.90461,0.00026,0.00026,0.00026
82,11088.2,0.92534,0.48545,0.86374,0.91681,0.81076,0.85446,0.56931,0.98041,0.49664,0.90967,0.000247625,0.000247625,0.000247625
83,11208.5,0.91507,0.48327,0.85901,0.91878,0.80894,0.85493,0.5722,0.97448,0.49753,0.90879,0.00023525,0.00023525,0.00023525
84,11328.6,0.91037,0.47929,0.8688,0.91819,0.80379,0.84989,0.57154,0.98443,0.49272,0.90991,0.000222875,0.000222875,0.000222875
85,11473.1,0.9321,0.48523,0.86665,0.95304,0.79363,0.85371,0.57103,0.98102,0.48942,0.90658,0.0002105,0.0002105,0.0002105
86,11615.8,0.91116,0.47667,0.86406,0.9383,0.80561,0.85489,0.57903,0.98333,0.49444,0.909,0.000198125,0.000198125,0.000198125
87,11757.6,0.91939,0.47831,0.86679,0.93392,0.80704,0.85601,0.57074,0.98131,0.49184,0.908,0.00018575,0.00018575,0.00018575
88,11900,0.91633,0.47848,0.86122,0.91624,0.81367,0.85589,0.57217,0.97654,0.48564,0.9065,0.000173375,0.000173375,0.000173375
89,12042,0.89629,0.4688,0.86374,0.9232,0.79814,0.85412,0.57629,0.97875,0.48624,0.90488,0.000161,0.000161,0.000161
90,12183.1,0.89995,0.47232,0.86557,0.91202,0.80617,0.85486,0.57044,0.98738,0.49154,0.90862,0.000148625,0.000148625,0.000148625
91,12318.4,0.88523,0.4602,0.87109,0.91162,0.80164,0.85177,0.56112,0.99547,0.49052,0.91169,0.00013625,0.00013625,0.00013625
92,12453.6,0.88077,0.46184,0.86845,0.89159,0.80563,0.84736,0.561,0.9997,0.49559,0.9137,0.000123875,0.000123875,0.000123875
93,12588.9,0.86714,0.44929,0.86656,0.87258,0.81902,0.84449,0.56616,0.98882,0.4908,0.91054,0.0001115,0.0001115,0.0001115
94,12724.1,0.87751,0.45294,0.86598,0.88887,0.81676,0.84952,0.57177,0.98424,0.4878,0.90736,9.9125e-05,9.9125e-05,9.9125e-05
95,12859.7,0.86724,0.44803,0.86288,0.88667,0.80203,0.85193,0.57258,0.98088,0.48738,0.90616,8.675e-05,8.675e-05,8.675e-05
96,12995.2,0.86843,0.44637,0.86261,0.91386,0.80518,0.84843,0.5719,0.98378,0.48764,0.90516,7.4375e-05,7.4375e-05,7.4375e-05
97,13130.6,0.86262,0.44244,0.86425,0.90716,0.7973,0.84964,0.56859,0.97957,0.48801,0.9041,6.2e-05,6.2e-05,6.2e-05
98,13264.3,0.86358,0.44368,0.86208,0.86979,0.81785,0.85114,0.5725,0.98121,0.48767,0.90438,4.9625e-05,4.9625e-05,4.9625e-05
99,13399.9,0.86198,0.44148,0.86414,0.8851,0.81556,0.84968,0.57182,0.97664,0.48423,0.90394,3.725e-05,3.725e-05,3.725e-05
100,13536.1,0.85697,0.43918,0.86016,0.90243,0.79855,0.85159,0.57529,0.97734,0.48216,0.90499,2.4875e-05,2.4875e-05,2.4875e-05
